SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,NPOPCHG_2010,NPOPCHG_2011,NPOPCHG_2012,BIRTHS2010,BIRTHS2011,BIRTHS2012,DEATHS2010,DEATHS2011,DEATHS2012,NATURALINC2010,NATURALINC2011,NATURALINC2012,INTERNATIONALMIG2010,INTERNATIONALMIG2011,INTERNATIONALMIG2012,DOMESTICMIG2010,DOMESTICMIG2011,DOMESTICMIG2012,NETMIG2010,NETMIG2011,NETMIG2012,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,GQESTIMATESBASE2010,GQESTIMATES2010,GQESTIMATES2011,GQESTIMATES2012,RBIRTH2011,RBIRTH2012,RDEATH2011,RDEATH2012,RNATURALINC2011,RNATURALINC2012,RINTERNATIONALMIG2011,RINTERNATIONALMIG2012,RDOMESTICMIG2011,RDOMESTICMIG2012,RNETMIG2011,RNETMIG2012
50,1,2,36,63,New York,Niagara County,216469,216469,216520,215867,215124,51,-653,-743,555,2251,2199,551,2338,2311,4,-87,-112,50,184,206,10,-643,-840,60,-459,-634,-13,-107,3,4319,4319,4240,4240,10.41196891,10.20438942,10.81438619,10.72412185,-0.402417279,-0.519732431,0.851089418,0.955936435,-2.974187476,-3.89799323,-2.123098058,-2.942056795
50,1,2,36,65,New York,Oneida County,234878,234877,234868,234155,233556,-9,-713,-599,668,2608,2524,596,2490,2468,72,118,56,115,499,543,-193,-1222,-1201,-78,-723,-658,-3,-108,3,13405,13405,13169,12848,11.1209898,10.79298969,10.61781618,10.55352558,0.503173618,0.239464114,2.12782742,2.321946672,-5.210831878,-5.135650006,-3.083004458,-2.813703334
50,1,2,36,67,New York,Onondaga County,467026,467026,467396,467542,466852,370,146,-690,1373,5342,5247,952,4020,3991,421,1322,1256,322,1293,1348,-360,-2279,-3304,-38,-986,-1956,-13,-190,10,17069,17069,16857,16857,11.42749573,11.23080842,8.599500716,8.54243499,2.827995011,2.688373427,2.765958812,2.8852925,-4.875189585,-7.071963219,-2.109230773,-4.186670719
50,1,2,36,69,New York,Ontario County,107931,107932,108071,108533,108519,139,462,-14,252,1055,1008,256,984,996,-4,71,12,26,131,135,116,270,-157,142,401,-22,1,-10,-4,3329,3329,3267,3267,9.741279016,9.288096862,9.085704789,9.17752428,0.655574228,0.110572582,1.209580617,1.243941544,2.493028753,-1.446657944,3.70260937,-0.2027164
50,1,2,36,71,New York,Orange County,372813,372813,373524,374438,374512,711,914,74,1244,5069,4980,526,2547,2555,718,2522,2425,211,574,933,-216,-2071,-3319,-5,-1497,-2386,-2,-111,35,12230,12230,12010,11669,13.55416452,13.29861807,6.810506416,6.822885373,6.7436581,6.475732692,1.534837331,2.491488083,-5.537714483,-8.863074972,-4.002877152,-6.371586888
50,1,2,36,73,New York,Orleans County,42883,42883,42861,43051,42836,-22,190,-215,111,429,420,110,420,405,1,9,15,6,29,30,-27,149,-261,-21,178,-231,-2,3,1,2586,2586,2918,2957,9.986963404,9.78029271,9.77744669,9.430996542,0.209516715,0.349296168,0.675109414,0.698592336,3.468665611,-6.077753327,4.143775026,-5.379160991
50,1,2,36,75,New York,Oswego County,122109,122112,122132,122022,121700,20,-110,-322,338,1350,1366,258,1042,1008,80,308,358,10,27,34,-66,-392,-721,-56,-365,-687,-4,-53,7,4954,4954,4908,4908,11.05859417,11.20949278,8.535596386,8.271719418,2.52299778,2.937773365,0.221171883,0.279006409,-3.211088084,-5.916577084,-2.9899162,-5.637570675
50,1,2,36,77,New York,Otsego County,62259,62253,62203,61982,61709,-50,-221,-273,135,488,458,155,641,620,-20,-153,-162,12,55,58,-36,-129,-168,-24,-74,-110,-6,6,-1,5320,5320,5405,5405,7.85924226,7.405550929,10.32330797,10.02498161,-2.464065708,-2.619430678,0.885775255,0.93782086,-2.077545597,-2.716446629,-1.191770343,-1.778625769
50,1,2,36,79,New York,Putnam County,99710,99724,99784,99916,99607,60,132,-309,240,876,828,118,668,658,122,208,170,32,127,138,-96,-166,-614,-64,-39,-476,2,-37,-3,2592,2592,2613,2613,8.77315974,8.299795011,6.690035053,6.595730818,2.083124687,1.704064193,1.271907862,1.383299169,-1.662493741,-6.154678909,-0.390585879,-4.771379741
50,1,2,36,81,New York,Queens County,2230722,2230725,2235040,2256438,2272771,4315,21398,16333,7519,30467,29417,3219,14183,14415,4300,16284,15002,4893,22014,22749,-4689,-17083,-21370,204,4931,1379,-189,183,-48,28000,28000,27975,27782,13.56658098,12.98990619,6.315515739,6.365349888,7.25106524,6.624556297,9.802563878,10.04546269,-7.606850128,-9.436526334,2.19571375,0.608936351
50,1,2,36,83,New York,Rensselaer County,159429,159429,159443,159880,159835,14,437,-45,415,1752,1740,364,1455,1482,51,297,258,90,344,358,-119,-149,-664,-29,195,-306,-8,-55,3,5607,5607,5908,5908,10.97321521,10.88469418,9.113029754,9.270756768,1.860185455,1.613937413,2.154558237,2.23949455,-0.933224353,-4.153699389,1.221333885,-1.914204839
50,1,2,36,85,New York,Richmond County,468730,468730,469530,470947,470728,800,1417,-219,1361,5721,5495,717,3504,3580,644,2217,1915,287,988,1086,-99,-1630,-3258,188,-642,-2172,-32,-158,38,7838,7838,7707,6938,12.16616674,11.67069318,7.45153789,7.603472536,4.714628853,4.067220644,2.101061483,2.306528261,-3.46632613,-6.919584782,-1.365264648,-4.613056522
50,1,2,36,87,New York,Rockland County,311687,311687,312517,315718,317757,830,3201,2039,1116,4752,4774,429,2043,2131,687,2709,2643,369,1268,1317,-207,-654,-1929,162,614,-612,-19,-122,8,7183,7183,7232,7232,15.12809697,15.07241801,6.503935629,6.727968744,8.624161341,8.344449268,4.03670601,4.158017286,-2.082023447,-6.090216662,1.954682563,-1.932199376
50,1,2,36,89,New York,St. Lawrence County,111944,111944,111886,112331,112232,-58,445,-99,306,1195,1142,248,1026,1007,58,169,135,14,76,89,-118,215,-312,-104,291,-223,-12,-15,-11,10751,10751,11227,11356,10.65931664,10.17086519,9.151848433,8.968529989,1.507468212,1.202335202,0.677914699,0.792650615,1.917785003,-2.778730245,2.595699702,-1.98607963
50,1,2,36,91,New York,Saratoga County,219607,219607,220014,221081,222133,407,1067,1052,594,2210,2112,383,1715,1744,211,495,368,54,162,246,145,434,445,199,596,691,-3,-24,-7,3950,3950,3916,3945,10.02051712,9.530384871,7.776102654,7.869787507,2.244414469,1.660597364,0.734535644,1.110073238,1.967830059,2.008059312,2.702365704,3.11813255
